,BLDG/RM,COURSE,CREDIT,CRN,DAY/TIME,FROM / TO,INSTR.,SECT,STATUS,SUBJ
1365,FNGR 210,Information Systems Security,3.00,23688,R07:10PM - 09:40PM,01/14/13 - 04/29/13,"Turner, E",10,OPEN,ISTM
1366,DUQUES 350,Info Resources Management,3.00,24511,W04:30PM - 07:00PM,01/14/13 - 04/29/13,"Money, W",10,CLOSED,ISTM
1367,FNGR 222,Integrated Info Syst Capstone,3.00,23692,M07:10PM - 09:40PM,01/14/13 - 04/29/13,"Artz, J",10,CLOSED,ISTM
1368,DUQUES 351,Datawarehousing/OLAP,3.00,24433,T07:10PM - 09:40PM,01/14/13 - 04/29/13,"Bruni, M",10,CLOSED,ISTM
1369,DUQUES 350,Advanced Programming/Bus Appl,3.00,27262,T04:30PM - 07:00PM,01/14/13 - 04/29/13,"Russell, S",10,OPEN,ISTM
1370,,Technology Entrepreneurship,3.00,23693,,01/14/13 - 04/29/13,,10,CANCELLED,ISTM
1371,DUQUES 258,Management of Tech/Innov,3.00,25347,M04:30PM - 07:00PM,01/14/13 - 04/29/13,"Donnelly, R",10,OPEN,ISTM
1372,,Emerging Technologies,3.00,23694,,01/14/13 - 04/29/13,,10,CANCELLED,ISTM
1373,,Special Topics,3.00,26393,,01/14/13 - 04/29/13,,10,CANCELLED,ISTM
1374,,Directed Readings & Research,1.00,22492,,01/14/13 - 04/29/13,"Dasgupta, S",10,OPEN,ISTM
1375,,Intro to Therapeutic Yoga,0.00 TO   2.00,29456,,01/14/13 - 04/29/13,,50,CLOSED,IDIS
1376,,Community Health Care,0.00 TO  12.00,29458,,01/14/13 - 04/29/13,,50,CLOSED,IDIS
1377,,OSHA Standard Precautions,0.00,23533,,01/14/13 - 04/29/13,"Schroth, W",10,OPEN,IDIS
1378,,Medical Humanities,3.00,29457,,01/14/13 - 04/29/13,,05,CLOSED,IDIS
1379,ACAD 225,20thC. Architecture&Design;,3.00,26610,MW11:30AM - 12:45PM,01/14/13 - 04/29/13,"Travis, S",MV,OPEN,INTD
1380,SOMR T,Studio I: Residential,3.00,23277,MW01:00PM - 04:00PM,01/14/13 - 04/29/13,"Filipescu, C",MV,OPEN,INTD
1381,ACAD 222,Arch. Drawing & Drafting,3.00,23276,MW08:30AM - 11:30AM,01/14/13 - 04/29/13,"Morentz, E",MV,OPEN,INTD
1382,LIBR 142,Presentation Techniques,3.00,23279,T01:00PM - 04:00PM,01/14/13 - 04/29/13,"Volchansky, N",MV,OPEN,INTD
1383,SOMR T,Color Theory,3.00,23491,M04:10PM - 07:00PM,01/14/13 - 04/29/13,"Evans, N",M80,CLOSED,INTD
1384,SOMR T,Color Theory,3.00,23492,M04:10PM - 07:00PM,01/14/13 - 04/29/13,"Evans, N",M80,CLOSED,INTD
1385,SEE DEPT,Solar Decathlon,3.00,27030,,01/14/13 - 04/29/13,"Anderson, C",80,OPEN,INTD
1386,SEE DEPT,Solar Decathlon,3.00,27031,,01/14/13 - 04/29/13,"Anderson, C",80,OPEN,INTD
1387,,Detaling for Interior Design,3.00,26954,,01/14/13 - 04/29/13,,M80,CANCELLED,INTD
1388,,Detaling for Interior Design,3.00,26955,,01/14/13 - 04/29/13,,M80,CANCELLED,INTD
1389,,Design in the Workplace,3.00,27073,,01/14/13 - 04/29/13,,M81,CANCELLED,INTD
1390,,Design in the Workplace,3.00,27102,,01/14/13 - 04/29/13,,M81,CANCELLED,INTD
1391,,Individual Problems & Research,3.00,23495,,01/14/13 - 04/29/13,,M80,OPEN,INTD
1392,,Individual Problems & Research,3.00,23496,,01/14/13 - 04/29/13,,M80,OPEN,INTD
1393,ACAD 225,Studio III: Institutional,3.00,23278,MW08:30AM - 11:30AM,01/14/13 - 04/29/13,"Evans, N",MV,OPEN,INTD
1394,LIBR 142,Computer-Aided Drafting,3.00,25898,MW08:30AM - 11:30AM,01/14/13 - 04/29/13,"Speck, E",M80,OPEN,INTD
1395,LIBR 142,Computer-Aided Drafting,3.00,27588,MW08:30AM - 11:30AM,01/14/13 - 04/29/13,"Speck, E",M80,OPEN,INTD
1396,ACAD 225,Methods&Materials-Bldg; Const.,3.00,23280,TR08:30AM - 11:30AM,01/14/13 - 04/29/13,"Speck, E",MV,OPEN,INTD
1397,ACAD 310,Internship,3.00,23281,W01:00PM - 04:00PM,01/14/13 - 04/29/13,"Evans, N",M80,OPEN,INTD
1398,ACAD 310,Internship,3.00,23368,W01:00PM - 04:00PM,01/14/13 - 04/29/13,"Evans, N",M80,OPEN,INTD
1399,ACAD 310,Internship,3.00,23368,W01:00PM - 04:00PM,01/14/13 - 04/29/13,"Evans, N",M80,OPEN,INTD
1400,ACAD 310,Internship,3.00,23281,W01:00PM - 04:00PM,01/14/13 - 04/29/13,"Evans, N",M80,OPEN,INTD
1401,ACAD 225,Graduate Studio I: Residential,3.00,23283,MW01:00PM - 04:00PM,01/14/13 - 04/29/13,"Travis, S",MV,OPEN,INTD
1402,ACAD 222,Graduate Studio I: Residential,3.00,24531,MW01:00PM - 04:00PM,01/14/13 - 04/29/13,"Morentz, E",MV1,OPEN,INTD
1403,ACAD 222,Grad Studio III: Institutional,3.00,23284,TR01:00PM - 04:00PM,01/14/13 - 04/29/13,"LeTourneur, M",MV,OPEN,INTD
1404,ACAD 225,Grad Studio III: Institutional,3.00,25131,TR01:00PM - 04:00PM,01/14/13 - 04/29/13,"Anderson, C",MV1,CLOSED,INTD
1405,LIBR 142,Presentation Techniques,3.00,24740,R01:00PM - 04:00PM,01/14/13 - 04/29/13,"Volchansky, N",MV,OPEN,INTD
1406,LIBR 142,Computer-Aided Drafting,3.00,27588,MW08:30AM - 11:30AM,01/14/13 - 04/29/13,"Speck, E",M80,OPEN,INTD
1407,LIBR 142,Computer-Aided Drafting,3.00,25898,MW08:30AM - 11:30AM,01/14/13 - 04/29/13,"Speck, E",M80,OPEN,INTD
1408,1957 E 310,Holocaust Memory,3.00,26823,T05:10PM - 07:00PM,01/14/13 - 04/29/13,"Reich, W",10,CLOSED,IAFF
1409,1957 E 213AND1957 E 213,Intro-Intl Affrs:Wash Perspect,4.00,20877,TR11:10AM - 12:00PMANDF11:10AM - 12:00PM,01/14/13 - 04/29/13,"Nau, H",10,OPEN,IAFF
1410,1957 E 313,Discussion,0.00,21403,F08:00AM - 09:15AM,01/14/13 - 04/29/13,"Nau, H",30,OPEN,IAFF
